method,roi,FTC,UMI_density,Median_UMI,Median_genes,Doublet_rate,NED,Debris_rate,QC_yield,N_cells,Silhouette,Immune_survival
sr,roi8,0.982,7.8603,491.0,415.0,0.0068,0.7625,0.017,933,1000,0.0851,1.0
v12,roi8,0.6753,7.7451,556.5,459.5,0.0056,0.7626,0.003,629,666,0.1408,0.5
p3,roi8,0.7314,7.4759,430.0,364.0,0.0039,0.7872,0.0112,840,893,0.1344,0.6667
nuc,roi8,0.2381,6.6963,198.5,182.5,0.0004,0.8535,0.0571,516,560,0.0927,0.75
sr,roi9,0.9445,12.6807,773.0,651.0,0.0074,0.7534,0.0021,942,945,0.0851,
v12,roi9,0.7488,12.8316,635.0,555.0,0.0043,0.7944,0.0,979,983,0.1408,
p3,roi9,0.7552,12.5288,489.0,435.5,0.0022,0.8157,0.0033,1222,1228,0.1344,
nuc,roi9,0.2949,12.2749,328.0,297.5,0.0003,0.8631,0.0156,757,770,0.0927,1.0
sr,roi10,0.8971,6.6385,377.0,237.5,0.0089,0.6842,0.0089,886,894,0.0851,1.0
v12,roi10,0.7074,6.6039,385.0,246.0,0.0059,0.6864,0.0062,800,805,0.1408,1.0
p3,roi10,0.6762,6.7309,319.0,207.0,0.0038,0.7021,0.0226,909,930,0.1344,1.0
nuc,roi10,0.2326,6.5944,133.0,91.0,0.0004,0.7803,0.1808,512,625,0.0927,0.8333
sr,roi11,0.9499,9.9471,669.5,418.5,0.0091,0.6615,0.0117,844,854,0.0851,1.0
v12,roi11,0.572,9.6168,535.0,328.0,0.0051,0.6682,0.0072,685,690,0.1408,1.0
p3,roi11,0.7225,9.9815,449.0,311.5,0.0038,0.7069,0.018,1035,1054,0.1344,1.0
nuc,roi11,0.1849,8.6067,168.5,118.0,0.0009,0.7816,0.1314,509,586,0.0927,0.9091
sr,roi12,0.7826,13.4937,696.5,590.0,0.005,0.7547,0.0062,795,800,0.0851,
v12,roi12,0.5887,13.3004,579.0,499.0,0.0037,0.7872,0.0037,812,815,0.1408,1.0
p3,roi12,0.5863,13.0784,503.5,445.0,0.0016,0.802,0.0076,919,926,0.1344,1.0
nuc,roi12,0.252,11.8215,314.0,284.5,0.0008,0.8554,0.0108,643,650,0.0927,1.0
sr,roi13,0.971,15.3882,1191.0,954.0,0.0071,0.6945,0.0129,763,773,0.0851,
v12,roi13,0.744,15.1002,1199.0,955.0,0.0053,0.7105,0.0,655,655,0.1408,
p3,roi13,0.7699,14.524,911.0,759.0,0.0029,0.7436,0.0047,844,849,0.1344,
nuc,roi13,0.2973,13.3133,540.0,479.0,0.001,0.7888,0.0461,497,521,0.0927,0.8
sr,roi14,0.9389,11.1412,835.0,694.0,0.0074,0.7364,0.009,768,776,0.0851,1.0
v12,roi14,0.7219,11.405,779.5,652.5,0.0073,0.7526,0.0015,683,684,0.1408,1.0
p3,roi14,0.7239,11.2234,579.0,499.0,0.0046,0.7801,0.0104,857,867,0.1344,1.0
nuc,roi14,0.265,9.7452,316.0,284.0,0.0018,0.8375,0.0635,530,567,0.0927,1.0
sr,roi15,0.8067,11.3481,1339.5,821.0,0.0142,0.6214,0.0023,436,440,0.0851,
v12,roi15,0.4879,11.0678,547.0,376.0,0.0024,0.6897,0.0047,628,636,0.1408,
p3,roi15,0.4869,11.6273,381.0,280.0,0.0023,0.7293,0.0181,853,885,0.1344,1.0
nuc,roi15,0.085,10.6431,145.0,114.0,0.0,0.8127,0.1437,279,327,0.0927,0.3333
